Player,deciles,variable,type_variable
J. Gvardiol,43,xG per 90,Finishing
J. Gvardiol,20,xA per 90,Buildup
J. Gvardiol,33,Touches in box per 90,Chance creation
J. Gvardiol,57,Progressive runs per 90,Buildup
J. Gvardiol,37,Back passes per 90,Positioning
J. Gvardiol,100,Lateral passes per 90,Positioning
J. Gvardiol,93,"Average long pass length, m",Buildup
J. Gvardiol,53,Key passes per 90,Buildup
J. Gvardiol,31,Shots per 90,Positioning
J. Gvardiol,37,shots,Finishing
J. Gvardiol,99,Progressive passes per 90,Buildup
J. Gvardiol,76,Sliding tackles per 90,Defense
J. Gvardiol,100,Passes per 90,Buildup
J. Gvardiol,20,Fouls suffered per 90,Chance creation
J. Gvardiol,36,Dribbles per 90,Chance creation
J. Gvardiol,25,Successful_dribbles,Chance creation
J. Gvardiol,2,Penalties taken,Finishing
J. Gvardiol,2,Penalties_won,Finishing
M. de Ligt,43,xG per 90,Finishing
M. de Ligt,1,xA per 90,Buildup
M. de Ligt,48,Touches in box per 90,Chance creation
M. de Ligt,37,Progressive runs per 90,Buildup
M. de Ligt,25,Back passes per 90,Positioning
M. de Ligt,100,Lateral passes per 90,Positioning
M. de Ligt,74,"Average long pass length, m",Buildup
M. de Ligt,1,Key passes per 90,Buildup
M. de Ligt,48,Shots per 90,Positioning
M. de Ligt,37,shots,Finishing
M. de Ligt,73,Progressive passes per 90,Buildup
M. de Ligt,34,Sliding tackles per 90,Defense
M. de Ligt,99,Passes per 90,Buildup
M. de Ligt,30,Fouls suffered per 90,Chance creation
M. de Ligt,8,Dribbles per 90,Chance creation
M. de Ligt,12,Successful_dribbles,Chance creation
M. de Ligt,2,Penalties taken,Finishing
M. de Ligt,2,Penalties_won,Finishing
D. Upamecano,24,xG per 90,Finishing
D. Upamecano,20,xA per 90,Buildup
D. Upamecano,18,Touches in box per 90,Chance creation
D. Upamecano,55,Progressive runs per 90,Buildup
D. Upamecano,49,Back passes per 90,Positioning
D. Upamecano,100,Lateral passes per 90,Positioning
D. Upamecano,95,"Average long pass length, m",Buildup
D. Upamecano,21,Key passes per 90,Buildup
D. Upamecano,11,Shots per 90,Positioning
D. Upamecano,34,shots,Finishing
D. Upamecano,99,Progressive passes per 90,Buildup
D. Upamecano,20,Sliding tackles per 90,Defense
D. Upamecano,100,Passes per 90,Buildup
D. Upamecano,18,Fouls suffered per 90,Chance creation
D. Upamecano,28,Dribbles per 90,Chance creation
D. Upamecano,26,Successful_dribbles,Chance creation
D. Upamecano,2,Penalties taken,Finishing
D. Upamecano,2,Penalties_won,Finishing
N. Schlotterbeck,49,xG per 90,Finishing
N. Schlotterbeck,35,xA per 90,Buildup
N. Schlotterbeck,32,Touches in box per 90,Chance creation
N. Schlotterbeck,80,Progressive runs per 90,Buildup
N. Schlotterbeck,25,Back passes per 90,Positioning
N. Schlotterbeck,99,Lateral passes per 90,Positioning
N. Schlotterbeck,99,"Average long pass length, m",Buildup
N. Schlotterbeck,44,Key passes per 90,Buildup
N. Schlotterbeck,33,Shots per 90,Positioning
N. Schlotterbeck,23,shots,Finishing
N. Schlotterbeck,99,Progressive passes per 90,Buildup
N. Schlotterbeck,97,Sliding tackles per 90,Defense
N. Schlotterbeck,98,Passes per 90,Buildup
N. Schlotterbeck,28,Fouls suffered per 90,Chance creation
N. Schlotterbeck,33,Dribbles per 90,Chance creation
N. Schlotterbeck,24,Successful_dribbles,Chance creation
N. Schlotterbeck,2,Penalties taken,Finishing
N. Schlotterbeck,2,Penalties_won,Finishing
N. Süle,53,xG per 90,Finishing
N. Süle,35,xA per 90,Buildup
N. Süle,54,Touches in box per 90,Chance creation
N. Süle,70,Progressive runs per 90,Buildup
N. Süle,43,Back passes per 90,Positioning
N. Süle,98,Lateral passes per 90,Positioning
N. Süle,55,"Average long pass length, m",Buildup
N. Süle,46,Key passes per 90,Buildup
N. Süle,57,Shots per 90,Positioning
N. Süle,72,shots,Finishing
N. Süle,88,Progressive passes per 90,Buildup
N. Süle,16,Sliding tackles per 90,Defense
N. Süle,98,Passes per 90,Buildup
N. Süle,4,Fouls suffered per 90,Chance creation
N. Süle,23,Dribbles per 90,Chance creation
N. Süle,38,Successful_dribbles,Chance creation
N. Süle,2,Penalties taken,Finishing
N. Süle,2,Penalties_won,Finishing
E. N'Dicka,60,xG per 90,Finishing
E. N'Dicka,1,xA per 90,Buildup
E. N'Dicka,27,Touches in box per 90,Chance creation
E. N'Dicka,22,Progressive runs per 90,Buildup
E. N'Dicka,22,Back passes per 90,Positioning
E. N'Dicka,85,Lateral passes per 90,Positioning
E. N'Dicka,73,"Average long pass length, m",Buildup
E. N'Dicka,1,Key passes per 90,Buildup
E. N'Dicka,30,Shots per 90,Positioning
E. N'Dicka,57,shots,Finishing
E. N'Dicka,71,Progressive passes per 90,Buildup
E. N'Dicka,29,Sliding tackles per 90,Defense
E. N'Dicka,90,Passes per 90,Buildup
E. N'Dicka,13,Fouls suffered per 90,Chance creation
E. N'Dicka,6,Dribbles per 90,Chance creation
E. N'Dicka,10,Successful_dribbles,Chance creation
E. N'Dicka,2,Penalties taken,Finishing
E. N'Dicka,2,Penalties_won,Finishing
E. Tapsoba,53,xG per 90,Finishing
E. Tapsoba,11,xA per 90,Buildup
E. Tapsoba,11,Touches in box per 90,Chance creation
E. Tapsoba,57,Progressive runs per 90,Buildup
E. Tapsoba,28,Back passes per 90,Positioning
E. Tapsoba,95,Lateral passes per 90,Positioning
E. Tapsoba,80,"Average long pass length, m",Buildup
