player,minutes,team,match,date
V. Milinković-Savić,90,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
K. Djidji,90,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
A. Buongiorno,90,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
R. Rodríguez,90,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
W. Singo,56,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
S. Ricci,38,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
I. Ilić,90,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
M. Vojvoda,90,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
A. Miranchuk,82,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
N. Radonjić,82,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
A. Sanabria,90,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
N. Vlašić,52,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
V. Lazaro,34,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
D. Seck,8,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
Y. Karamoh,8,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
A. Gravillon,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
L. Gemello,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
B. Bayeye,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
M. Adopo,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
G. Gineitis,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
M. Fiorenza,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
C. N'Guessan,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
P. Pellegri,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
K. Linetty,0,Torino,Regular Season - 30,2023-04-16T00:00:00+00:00
G. Ochoa,90,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
F. Daniliuc,58,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
N. Gyömbér,77,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
L. Pirola,90,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
G. Kastanos,90,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
H. Nicolussi,58,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
T. Vilhena,90,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
D. Bradarić,90,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
A. Candreva,90,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
B. Dia,80,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
K. Piątek,58,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
E. Bohinen,32,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
F. Bonazzoli,32,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
W. Troost-Ekong,32,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
M. Lovato,13,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
E. Botheim,10,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
P. Mazzocchi,0,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
A. Iervolino,0,Salernitana,Regular Season - 30,2023-04-16T00:00:00+00:00
