player,minutes,team,match,date
O. Vlachodimos,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
A. Bah,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
António Silva,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
N. Otamendi,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Álex Grimaldo,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Florentino,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
E. Fernández,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
João Mário,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Rafa,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
F. Aursnes,65,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Gonçalo Ramos,90,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
David Neres,25,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Chiquinho,0,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
J. Draxler,0,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
P. Musa,0,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Gil Dias,0,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Lucas Veríssimo,0,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
João Neves,0,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Helton Leite,0,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Morato,0,Benfica,Regular Season - 16,2023-01-15T18:00:00+00:00
Adán,90,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Gonçalo Inácio,90,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
S. Coates,90,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Matheus Reis,67,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Pedro Porro,90,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Pote,90,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
M. Ugarte,90,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Nuno Santos,90,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
M. Edwards,78,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Trincão,89,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Paulinho,78,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
J. St. Juste,23,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Arthur Gomes,12,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Youssef Chermiti,12,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Jovane Cabral,1,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
F. Israel,0,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
M. Tanlongo,0,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
José Marsà,0,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
Ricardo Esgaio,0,Sporting CP,Regular Season - 16,2023-01-15T18:00:00+00:00
